|        a         |        b         |sel|       out        |
| 0000000000000000 | 1111111111111111 | 0 | 0000000000000000 |
| 0000000000000000 | 1111111111111111 | 1 | 1111111111111111 |
| 1111111111111111 | 0000000000000000 | 0 | 1111111111111111 |
| 1111111111111111 | 0000000000000000 | 1 | 0000000000000000 |
| 1010101010101010 | 0101010101010101 | 0 | 1010101010101010 |
| 1010101010101010 | 0101010101010101 | 1 | 0101010101010101 |
| 0011110011000011 | 0000111111110000 | 0 | 0011110011000011 |
| 0011110011000011 | 0000111111110000 | 1 | 0000111111110000 |
| 0001001000110100 | 1001100001110110 | 0 | 0001001000110100 |
| 0001001000110100 | 1001100001110110 | 1 | 1001100001110110 |
